"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**";"Symbol_GNU-Logo_SilkscreenTop";2;"Symbol_GNU-Logo_SilkscreenTop";;;
2;"REF**,REF**";"OSHW-Logo_7.5x8mm_SilkScreen";2;"OSHW-Logo_7.5x8mm_SilkScreen";;;
3;"HOLE11,HOLE10,HOLE9,HOLE8,HOLE7,HOLE6,HOLE5,HOLE4,HOLE3,HOLE2,HOLE1";"MountingHole_3mm_Pad";11;"HOLE";;;
4;"J10";"Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical";1;"POWER";;;
5;"J26";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"PWR_SWITCH";;;
6;"J1";"BarrelJack_Horizontal";1;"5V";;;
7;"U24,U23";"DIP-20_W7.62mm_Socket";2;"74HCT273";;;
8;"U47";"IC_DIP24_400";1;"CXA1645";;;
9;"J25";"PinHeader_1x04_P2.54mm_Horizontal";1;"FDD_PWR";;;
10;"J20";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"EXTR_PWR2";;;
11;"J19";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"EXTR_PWR1";;;
12;"U1";"DIP-40_W15.24mm_Socket";1;"Z84C00";;;
13;"SLOT2,SLOT1";"Conn_Edge_50P";2;"MSX_SLOT_HOST";;;
14;"J24";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"RESET";;;
15;"J23";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"NMI";;;
16;"JP1";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"ROM_A18";;;
17;"J15";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"To_FMPAC";;;
18;"J18";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"AUDIO_CONN";;;
19;"J17";"Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical";1;"VIDEO_CONN";;;
20;"J22";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"SVIDEO_CONN";;;
21;"J21";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"EXTR_PWR3";;;
22;"J16";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"FMPAC_PWR";;;
23;"C96,C95,C68,C70,C71,C76,C75,C74,C73,C72,C77,C69";"CP_Radial_D5.0mm_P2.50mm";12;"10uF";;;
24;"J8";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"JOYSTICK_B";;;
25;"J7";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"JOYSTICK_A";;;
26;"D1";"D_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1N4148";;;
27;"JP5,JP6";"PinHeader_1x03_P2.54mm_Vertical";2;"NTSC/PAL";;;
28;"J12";"PinHeader_2x20_P2.54mm_Vertical";1;"RAM_EXT";;;
29;"C32,C6,C46,C18,C41,C16,C17,C15,C26,C20,C27,C5,C14,C13,C31,C30,C23,C22,C25,C19,C38,C37,C42,C29,C28,C21,C58,C3,C33,C24,C49,C2,C1,C40,C12,C39,C44,C45,C36,C35,C34,C57,C48,C4,C50,C47,C43,C11,C10,C9,C8,C56,C55,C54,C53,C52,C51";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";57;"100nF";;;
30;"U32";"DIP-16_W7.62mm_Socket";1;"74AHCT138";;;
31;"RR10,RR8";"R_Array_SIP6";2;"4.7K";;;
32;"JP7,JP8";"PinHeader_2x03_P2.54mm_Vertical";2;"RAM_SIZE";;;
33;"C7";"C_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"100uF";;;
34;"U7";"DIP-32_W15.24mm_Socket";1;"AS6C4008";;;
35;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"KBD_TYPE";;;
36;"L2,L3";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";2;"5.6uH";;;
37;"L1";"L_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"68uH";;;
38;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"750mA";;;
