"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"CHERRY_PCB_100H";1;"0";;;
2;"SW2";"CHERRY_PCB_100H";1;"1";;;
3;"SW3";"CHERRY_PCB_100H";1;"2";;;
4;"SW4";"CHERRY_PCB_100H";1;"3";;;
5;"SW5";"CHERRY_PCB_100H";1;"4";;;
6;"SW6";"CHERRY_PCB_100H";1;"5";;;
7;"SW7";"CHERRY_PCB_100H";1;"6";;;
8;"SW8";"CHERRY_PCB_100H";1;"7";;;
9;"SW9";"CHERRY_PCB_100H";1;"8";;;
10;"SW10";"CHERRY_PCB_100H";1;"9";;;
11;"SW11";"CHERRY_PCB_100H";1;"MINUS";;;
12;"SW12";"CHERRY_PCB_100H";1;"EQUALS";;;
13;"SW13";"CHERRY_PCB_150H";1;"BACK_SLASH";;;
14;"SW14";"CHERRY_PCB_100H";1;"LEFT_BRACKET";;;
15;"SW15";"CHERRY_PCB_100H";1;"RIGHT_BRACKET";;;
16;"SW16";"CHERRY_PCB_100H";1;"SEMICOLON";;;
17;"SW17";"CHERRY_PCB_100H";1;"QUOTE";;;
18;"SW18";"CHERRY_PCB_100H";1;"TILDE";;;
19;"SW19";"CHERRY_PCB_100H";1;"COMMA";;;
20;"SW20";"CHERRY_PCB_100H";1;"PERIOD";;;
21;"SW21";"CHERRY_PCB_100H";1;"SLASH";;;
22;"SW22";"CHERRY_PCB_100H";1;"DEAD";;;
23;"SW23";"CHERRY_PCB_100H";1;"A";;;
24;"SW24";"CHERRY_PCB_100H";1;"B";;;
25;"SW25";"CHERRY_PCB_100H";1;"C";;;
26;"SW26";"CHERRY_PCB_100H";1;"D";;;
27;"SW27";"CHERRY_PCB_100H";1;"E";;;
28;"SW28";"CHERRY_PCB_100H";1;"F";;;
29;"SW29";"CHERRY_PCB_100H";1;"G";;;
30;"SW30";"CHERRY_PCB_100H";1;"H";;;
31;"SW31";"CHERRY_PCB_100H";1;"I";;;
32;"SW32";"CHERRY_PCB_100H";1;"J";;;
33;"SW33";"CHERRY_PCB_100H";1;"K";;;
34;"SW34";"CHERRY_PCB_100H";1;"L";;;
35;"SW35";"CHERRY_PCB_100H";1;"M";;;
36;"SW36";"CHERRY_PCB_100H";1;"N";;;
37;"SW37";"CHERRY_PCB_100H";1;"O";;;
38;"SW38";"CHERRY_PCB_100H";1;"P";;;
39;"SW39";"CHERRY_PCB_100H";1;"Q";;;
40;"SW40";"CHERRY_PCB_100H";1;"R";;;
41;"SW41";"CHERRY_PCB_100H";1;"S";;;
42;"SW42";"CHERRY_PCB_100H";1;"T";;;
43;"SW43";"CHERRY_PCB_100H";1;"U";;;
44;"SW44";"CHERRY_PCB_100H";1;"V";;;
45;"SW45";"CHERRY_PCB_100H";1;"W";;;
46;"SW46";"CHERRY_PCB_100H";1;"X";;;
47;"SW47";"CHERRY_PCB_100H";1;"Y";;;
48;"SW48";"CHERRY_PCB_100H";1;"Z";;;
49;"SW49";"CHERRY_PCB_225H";1;"SHIFT";;;
50;"SW50";"CHERRY_PCB_125H";1;"CTRL";;;
51;"SW51";"CHERRY_PCB_125H";1;"GRAPH";;;
52;"SW52";"CHERRY_PCB_175H";1;"CAPS_LOCK";;;
53;"SW53";"CHERRY_PCB_125H";1;"CODE/KANA";;;
54;"SW54";"CHERRY_PCB_100H";1;"F1/F6";;;
55;"SW55";"CHERRY_PCB_100H";1;"F2/F7";;;
56;"SW56";"CHERRY_PCB_100H";1;"F3/F8";;;
57;"SW57";"CHERRY_PCB_100H";1;"F4/F9";;;
58;"SW58";"CHERRY_PCB_100H";1;"F5/F10";;;
59;"SW59";"CHERRY_PCB_100H";1;"ESC";;;
60;"SW60";"CHERRY_PCB_100H";1;"TAB";;;
61;"SW61";"CHERRY_PCB_100H";1;"STOP";;;
62;"SW62";"CHERRY_PCB_200H";1;"BACK_SPACE";;;
63;"SW64";"CHERRY_PCB_225H";1;"RETURN";;;
64;"SW65";"CHERRY_PCB_625H";1;"SPACE";;;
65;"SW66";"CHERRY_PCB_100H";1;"HOME/CLS";;;
66;"SW67";"CHERRY_PCB_100H";1;"INSERT";;;
67;"SW68";"CHERRY_PCB_100H";1;"DELETE";;;
68;"SW69";"CHERRY_PCB_100H";1;"LEFT";;;
69;"SW70";"CHERRY_PCB_100H";1;"UP";;;
70;"SW71";"CHERRY_PCB_100H";1;"DOWN";;;
71;"SW72";"CHERRY_PCB_100H";1;"RIGHT";;;
72;"SW63";"CHERRY_PCB_125H";1;"SELECT";;;
73;"SW73";"CHERRY_PCB_275H";1;"SHIFT";;;
74;"C3";"CP_Radial_D5.0mm_P2.50mm";1;"10uF";;;
75;"D1";"LED_D3.0mm";1;"POWER";;;
76;"HOLE1,HOLE2,HOLE3,HOLE4,HOLE5,HOLE6,HOLE7";"Hole_3mm";7;"HOLE";;;
77;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"KEYBOARD";;;
78;"U1";"DIP-16_W7.62mm_Socket";1;"74LS145";;;
79;"U2";"DIP-14_W7.62mm_Socket";1;"74LS07";;;
80;"D3";"CHERRY_MX_LED";1;"KANA";;;
81;"D2";"CHERRY_MX_LED";1;"CAPS";;;
82;"RN1";"R_Array_SIP6";1;"4.7k";;;
83;"C1,C2";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100nF";;;
84;"D4,D5,D6";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"1N4148";;;
85;"R1,R2,R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"470R";;;
