"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"HOLE1,HOLE2,HOLE3,HOLE4,HOLE5,HOLE6,HOLE7,HOLE8,HOLE9,HOLE10,HOLE11";"MountingHole_3mm_Pad";11;"HOLE";;;
2;"C59,C60,C63,C64,C61,C62";"CP_Radial_D10.0mm_P5.00mm";6;"220uF";;;
3;"C65";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
4;"C66,C67";"CP_Radial_D6.3mm_P2.50mm";2;"100uF";;;
5;"C72,C75,C76,C74,C77,C71,C73,C68,C69,C70";"CP_Radial_D5.0mm_P2.50mm";10;"10uF";;;
6;"J1";"BarrelJack_Horizontal";1;"5V";;;
7;"J7";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"JOYSTICK_A";;;
8;"J8";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"JOYSTICK_B";;;
9;"JP1";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"SEL_ROM1";;;
10;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"KBD_TYPE";;;
11;"JP3,JP4";"PinHeader_1x03_P2.54mm_Vertical";2;"V9938/V9958";;;
12;"JP5,JP6";"PinHeader_1x03_P2.54mm_Vertical";2;"NTSC/PAL";;;
13;"RR1,RR2,RR3,RR4";"R_Array_SIP10";4;"10K";;;
14;"RR6,RR5,RR7";"R_Array_SIP10";3;"4.7K";;;
15;"RR8,RR10";"R_Array_SIP6";2;"4.7K";;;
16;"RR9";"R_Array_SIP6";1;"470";;;
17;"U2";"DIP-40_W15.24mm_Socket";1;"82C55";;;
18;"U3";"IC_SDIP64_600";1;"V9938/V9958";;;
19;"U4";"DIP-40_W15.24mm_Socket";1;"YM2149";;;
20;"U5";"DIP-18_W7.62mm_Socket";1;"RP5C01";;;
21;"U6,U50";"SST39SF040_PLCC32";2;"SST39SF040";;;
22;"U7";"DIP-32_W15.24mm_Socket";1;"AS6C4008";;;
23;"U8,U9,U10,U11";"DIP-18_W7.62mm_Socket";4;"D41464";;;
24;"U12,U14,U13";"DIP-20_W7.62mm_Socket";3;"ATF16V8B";;;
25;"U15,U17,U18,U16";"DIP-16_W7.62mm_Socket";4;"74HCT670";;;
26;"U20,U21,U19";"DIP-20_W7.62mm_Socket";3;"74F541";;;
27;"U23,U24";"DIP-20_W7.62mm_Socket";2;"74HCT273";;;
28;"U25,U26";"DIP-20_W7.62mm_Socket";2;"74F245";;;
29;"U27";"DIP-16_W7.62mm_Socket";1;"74HCT175";;;
30;"U28,U29";"DIP-16_W7.62mm_Socket";2;"74HCT157";;;
31;"U31,U30";"DIP-16_W7.62mm_Socket";2;"74HCT153";;;
32;"U33";"DIP-14_W7.62mm_Socket";1;"74AHCT125";;;
33;"U34,U35,U36";"DIP-14_W7.62mm_Socket";3;"74HCT74";;;
34;"U38,U39,U37";"DIP-14_W7.62mm_Socket";3;"74AHCT32";;;
35;"U42";"DIP-14_W7.62mm_Socket";1;"74LS07";;;
36;"U44";"DIP-14_W7.62mm_Socket";1;"74AHCT02";;;
37;"U45";"DIP-14_W7.62mm_Socket";1;"74HCT00";;;
38;"U47";"IC_DIP24_400";1;"CXA1645";;;
39;"Y3";"Crystal_HC49-U_Vertical";1;"4.433618MHz";;;
40;"J3";"Conn_RCA_Right";1;"Audio";;;
41;"U22";"DIP-20_W7.62mm_Socket";1;"74HCT540";;;
42;"U40,U41";"DIP-14_W7.62mm_Socket";2;"74HCT30";;;
43;"J11";"IDC-Header_2x08_P2.54mm_Vertical";1;"KEYBOARD";;;
44;"Q2,Q1";"TO-92L_Inline_Wide";2;"PN2907A";;;
45;"J12";"PinHeader_2x20_P2.54mm_Vertical";1;"RAM_EXT";;;
46;"BT1";"Battery_Holder_CR2032_Universal";1;"CR2032";;;
47;"U46";"DIP-16_W7.62mm_Socket";1;"ADM691A";;;
48;"J9";"Conn_Micro_Ribbon_14F";1;"PRINTER";;;
49;"J4";"Conn_Mini_DIN_4pin";1;"S-VIDEO";;;
50;"U48";"DIP-8_W7.62mm_Socket";1;"MCP6281";;;
51;"U43";"DIP-14_W7.62mm_Socket";1;"74HCT04";;;
52;"J6";"DIN8";1;"Cassette";;;
53;"RY1";"Relay_SPDT";1;"Relay_5V";;;
54;"C78";"CP_Radial_D5.0mm_P2.50mm";1;"1uF";;;
55;"U49";"DIP-8_W7.62mm_Socket";1;"LM311";;;
56;"J5";"DIN8";1;"RGB";;;
57;"J2";"Conn_RCA_Right";1;"Composite";;;
58;"Y1";"Crystal_HC49-U_Vertical";1;"21.477270MHz";;;
59;"Y2";"Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal_1EP_style2";1;"32768 Hz";;;
60;"J14";"PinHeader_1x13_P2.54mm_Vertical";1;"CBUS";;;
61;"JP7,JP8";"PinHeader_2x03_P2.54mm_Vertical";2;"RAM_SIZE";;;
62;"U32";"DIP-16_W7.62mm_Socket";1;"74AHCT138";;;
63;"J15";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"To_FMPAC";;;
64;"J16";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"FMPAC_PWR";;;
65;"J25";"Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical";1;"FDD_PWR";;;
66;"J21";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"EXTR_PWR3";;;
67;"SLOT1,SLOT2";"Conn_Edge_50P";2;"MSX_SLOT_HOST";;;
68;"U1";"DIP-40_W15.24mm_Socket";1;"Z84C00";;;
69;"J22";"Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical";1;"SVIDEO_CONN";;;
70;"J19";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"EXTR_PWR1";;;
71;"J20";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"EXTR_PWR2";;;
